Compound,outputs,inputs
"4,5-Dihydro-2-mercaptoimidazole",AChE inhibition,"Phosfolan Cyolane, 2-diethoxy phosphinylimino-1,3-dithiolane is one of the widely used insecticides in Egypt specially to protect cotton plants. The hazard of exposure of the spray workers team in the field was estimated in terms of the amount of Phosfolan insecticide retained on workmen body pads during field spraying. The health effect of such exposure was determined through recording of the AChE inhibition in the red blood cells at different intervals after exposure. The calculated percentage of the toxic dose received per every spraying day for each worker varied with the type of job in the range of 0.008 to 0.03 percent. The body of the mixer received the maximum exposure with 10 to 12 fold that of the assistants. The highly exposed group of workers suffered from 31 to 44 percent RBCs AChE inhibition. About half of the inhibited enzyme activity recovered after 48 hours. Then it took more than 3-4 weeks to reach complete recovery. Thus the RBCs AChE activity can be recommended as a criterion for the level of exposure to organophosphorous insecticides."
"4,5-Dihydro-2-mercaptoimidazole",caspase-3 activation,"Increased beta-amyloid Abeta production and its aggregation to the oligomeric state is considered to be a major cause of Alzheimers disease AD. Therefore, reducing Abeta-induced neurotoxicity could provide a suitable means of prevention or intervention in the disease course of AD. The neuroprotective effects of isolates from Callistemon lanceolatus DC. Myrtaceae against Abeta were evaluated using PC12 cells. To evaluate the effects of Abeta on apoptotic cell death and the effects of Bcl-2 family proteins and caspase-3, TUNEL assays and Western blotting were performed, respectively. Substantial fractionation and purification of the EtOAc-soluble extract of the aerial parts of C. lanceolatus afforded six flavonoids, 4,5-dihydroxy-6,8-dimethyl-7-methoxyflavanone 1, eucalyptin 2, 8-demethyleucalyptin 3, sideroxylin 4, syzalterin 5, and quercetin 6. Compounds 1, 5, and 6 were found to protect PC12 cells effectively against Abeta-induced toxicity. In particular, compound 1 showed the most promising neuroprotective effect with an ED 50 value of 6.7 microM in terms of decreasing Abeta-induced apoptotic cell death, and this was accompanied by a decrease in caspase-3 activation and an increase in Bcl-2/Bax ratio. These results suggest that compound 1 could be developed as a candidate anti-AD agent due to its attenuation of Abeta-induced apoptotic cell death."
"4,5-Dihydro-2-mercaptoimidazole",AChE inhibition,"The present work proposed the preparation of triazolic analogues of tyrosol, a biophenol found in olive oil and whose wide range of bioactivities has been the target of many studies. We obtained fifteen novel tyrosol derivatives and the compounds of the series were later evaluated as acetylcholinesterase AChE inhibitors. The study of AChE inhibition is important for the development of new drugs and pesticides, and especially the research for managing Alzheimers disease. The most active compound, namely 7-1-2-4-hydroxyphenylethyl-1H-1,2,3-triazol-4-ylmethoxy-4-methyl-2H-chromen-2-one 30, showed IC50 value of 14.66  2.29 mol L-1. Docking experiments corroborated by kinetic assay are suggestive of a competitive inhibition mechanism. Derivatives interacted with amino acids from the AChE active site associated to the development of Alzheimers disease. The results indicate that the compounds synthesized have a high potential as prototypes for the development of new acetylcholinesterase inhibitors."
"4,5-Dihydro-2-mercaptoimidazole",caspase-3 activation,"OBJECTIVE To evaluate the effects of tetrandrine plus arsenic trioxide on HCC1937 cells, a triple negative breast cancer cell line, and to explore possible mechanisms.   METHODS The 3-4,5-Dimethylthiazol-2-yl-2, 5-diphenyltetrazolium bromide method was used to compare the antiproliferative effects of tetrandrine, arsenic trioxide alone and tetrandrine plus arsenic trioxide on HCC1937 cells. The median-effect principle Chou-Talalay combination index method was used to examine the interaction between the two drugs. Flow cytometry was used to evaluate effects of treatment with tetrandrine, arsenic trioxide or the combination of both on HCC1937 cell apoptosis. Real-time polymerase chain reaction and western blotting were performed to evaluate changes in apoptosis-related gene expression and protein levels.   RESULTS Tetrandrine and arsenic trioxide each inhibited HCC1937 cell proliferation in a dose-dependent manner. The cell inhibition rate of HCC1937 cells treated with a combination of tetrandrine and arsenic trioxide was significantly higher than with either compound alone. The two drugs produced a synergistic effect when the inhibition rate was 20-40. Flow cytometry results showed that treatment with the two drugs increased the proportion of apoptotic cells. In the combination treated group, caspase-3 activation and PARP cleavage were significantly higher than in the other groups. Moreover, Bcl-2 and survivin expression were decreased, whereas that of both Bid and Bax was increased.   CONCLUSION These findings demonstrated that tetrandrine plus arsenic trioxide had synergistic efficacy on induction of apoptosis in HCC1937 cells."
"4,5-Dihydro-2-mercaptoimidazole",EGFR signaling pathway,"Ornithine decarboxylase ODC overexpressed from a heterologous promoter drives the tumorigenic transformation of NIH 3T3 cells and provides a model to investigate the underlying molecular mechanisms. These transformed cells, designated NODC cells, exhibit elevated levels of epidermal growth factor receptor EGFR tyrosine kinase Tyr-k activity relative to control transfected cells and inhibition of EGFR Tyr-k activation suppresses the transformed growth phenotype of these cells. Thus, ODC-induced transformation of NIH 3T3 cells appears to be mediated, at least in part, by enhanced signaling through the EGFR pathway. Here we extend these studies by evaluating i the effects on growth regulation of overexpressing ODC in EGFR-deficient NIH 3T3 cells ii the potential role of TGFalpha in mediating the EGFR-dependent transformation of NIH 3T3 cells by ODC. Disruption of EGFR-TGFalpha interactions either by deleting EGFR, by treatment with anti-TGFalpha neutralizing antibody or by transfection with a TGFalpha antisense expression vector suppressed acquisition of the full transformed growth phenotype. Specifically, the loss of contact inhibition and the capacity for clonogenic growth appear more dependent on EGFR-TGFalpha interactions than anchorage-independent growth in ODC-overexpressing cells. ODC overexpression does not alter the amount, localization or secretion of TGFalpha. Thus, TGFalpha is not the ODC-responsive component of the EGFR signaling pathway but appears to be critically involved in development of the transformed phenotype of NODC cells."
"4,5-Dihydro-2-mercaptoimidazole",caspase-3 activation,"The phenomenon of aging arises from multiple, complex interactions causing dysfunction in cells and organs. In particular, fertility drastically decreases with age. Previously, we have demonstrated that the functional characteristics of the bovine oviduct and uterus change with the age-dependent upregulation of inflammation and noted that S100A9 triggers inflammatory responses in oviduct epithelial cells. In the present study, we investigated the hypothesis that S100A9 affects reproductive events to aspect such as sperm function, fertilization, and the development of the embryo in cows. To investigate the effect of S100A9 on bovine sperm, we incubated sperms in vitro with S100A9 for 5 h and observed significantly decreased sperm motility and viability. During in vitro fertilization, S100A9 treatment for 5 h did not affect the rate of fertilization, time of first division of embryos, or embryo development to blastocyst stage. Treatment of 2-cell stage embryos with S100A9 for 5 h significantly reduced the proportion of cells undergoing normal division 4-8 cell embryos and embryo development to the blastocyst stage. In experiment involving 24 h treatment of 2-cell embryos, the development of all embryos stopped at the 2-cell stage in the S100A9-treated group. In blastocyst-stage embryos, S100A9 treatment significantly stimulated the expression of endoplasmic reticulum ER and the mRNA expression of ER stress markers, and activated caspase-3 with subsequent nuclear fragmentation. Pre-treatment with an ER stress inhibitor significantly suppressed caspase-3 activation by the S100A9 treatment, suggesting that S100A9 induces blastocyst dysfunction by apoptosis via caspase-3 activation depending on ER stress. These results indicate that direct exposure to S100A9 exerted adverse effects on sperm function and embryo development. These findings suggest that excessive dose of S100A9 may have an adverse effect to the reproductive machinery by inducing inflammation and tissue dysfunction."
"4,5-Dihydro-2-mercaptoimidazole",PPARgamma activation,"OBJECTIVE Nifedipine, an L-type calcium channel blocker, protects against the progression of atherosclerosis. We investigated the molecular basis of the antiatherosclerotic effect of nifedipine in macrophages and apolipoprotein E-deficient mice.   METHODS AND RESULTS In macrophages, nifedipine increased peroxisome proliferator-activated receptor-gamma PPARgamma activity without increasing PPARgamma-binding activity. Amlodipine, another L-type calcium channel blocker, and 1,2-bis-o-aminophenoxy-ethane-N,N,-N,N-tetraacetic acid tetraacetoxy-methyl ester BAPTA-AM, a calcium chelator, decreased PPARgamma activity, suggesting that nifedipine does not activate PPARgamma via calcium channel blocker activity. Inactivation of extracellular signal-regulated kinase 1/2 suppressed PPARgamma2-Ser112 phosphorylation and induced PPARgamma activation. Nifedipine suppressed extracellular signal-regulated kinase 1/2 activation and PPARgamma2-Ser112 phosphorylation, and mutating PPARgamma2-Ser112 to Ala abrogated nifedipine-mediated PPARgamma activation. These results suggested that nifedipine inhibited extracellular signal-regulated kinase 1/2 activity and PPARgamma2-Ser112 phosphorylation, leading to PPARgamma activation. Nifedipine inhibited lipopolysaccharide-induced monocyte chemoattractant protein-1 expression and induced ATP-binding cassette transporter A1 mRNA expression, and these effects were abrogated by small interfering RNA for PPARgamma. Furthermore, in apolipoprotein E-deficient mice, nifedipine treatment decreased atherosclerotic lesion size, phosphorylation of PPARgamma2-Ser112 and extracellular signal-regulated kinase 1/2, and monocyte chemoattractant protein-1 mRNA expression and increased ATP-binding cassette transporter A1 expression in the aorta.   CONCLUSIONS Nifedipine unlike amlodipine inhibits PPARgamma-Ser phosphorylation and activates PPARgamma to suppress monocyte chemoattractant protein-1 expression and induce ATP-binding cassette transporter A1 expression in macrophages. These effects may induce antiatherogenic effects in hypertensive patients."
"4,5-Dihydro-2-mercaptoimidazole",caspase-3 activation,"To investigate the mode of zinc-induced cell death, the associated morphological changes, and biological events were examined in zinc-treated Molt-4 cells. Fluorescence microscope observations with double staining of zinc-treated cells with Hoechst 33342 and propidium iodide PI indicated that the metal induced both necrosis and apoptosis. To confirm this, cells were stained with both PI and FITC-labeled annexin V, which binds phosphatidylserine, and then analyzed by flow cytometry. The results also confirmed that zinc induces mixed types of cell death, necrosis and apoptosis, and that the former induction occurs earlier and at a greater frequency. Hallmarks of apoptosis such as abnormal chromosome condensation and release of cytochrome c, as well as the appearance of annexin-positive cells, appeared along with the expression of mitochondrial membrane protein 7A6. However, zinc did not induce increases in caspase-3 like protease and caspase-8 activities, and caused slightly hypodiploid cells. Furthermore, the induction of cell death and annexin-positive cells was not blocked by the caspase inhibitors Ac-YVAD-CHO and Ac-DEVD-CHO. These results indicate that zinc induces both necrosis and apoptosis, without caspase-3 activation."
"4,5-Dihydro-2-mercaptoimidazole",caspase-3 activation,"AIM OF THE STUDY To investigate the neuroprotective effects of water-soluble Ganoderma lucidum polysaccharides GLPS on cerebral ischemic injury in rats, and to explore the involved mechanisms.   MATERIALS AND METHODS Two models middle cerebral artery occlusion MCAO in Sprague-Dawley SD rats and oxygen and glucose deprivation OGD in primary cultured rat cortical neurons were employed to mimic ischemia-reperfusion I/R damage, in vivo and in vitro, respectively. Cerebral infarct area was measured by tetrazolium staining, and neurological functional deficits were assessed at 24h after I/R. Neuronal apoptosis was studied by Nissl staining and DNA fragmentation assay. Neuronal injury was assessed by morphological examination using phase-contrast microscopy and quantified by measuring the amount of lactate dehydrogenase LDH leakage, cell viability was measured by sodium 3-1- phenylaminocarbonyl-3, 4-tetrazolium-bis 4-methoxy-6-nitro benzene sulfonic acid XTT reduction. Neuronal apoptosis was determined by flow cytometry, and electron microscopy was used to study morphological changes of neurons. Caspase-3, -8 and -9 activation and Bcl-2, Bax protein expression were determined by western blot analysis.   RESULTS Oral administration of GLPS 100, 200 and 400mg/kg significantly reduced cerebral infarct area, attenuated neurological functional deficits, and reduced neuronal apoptosis in ischemic cortex. In OGD model, GLSP 0.1, 1 and 10 microg/ml effectively reduced neuronal cell death and relieved cell injury. Moreover, GLPS decreased the percentage of apoptotic neurons, relieved neuronal morphological damage, suppressed overexpression of active caspases-3, -8 and -9 and Bax, and inhibited the reduction of Bcl-2 expression.   CONCLUSIONS Our findings indicate that GLPS protects against cerebral ischemic injury by inhibiting apoptosis by downregulating caspase-3 activation and modulating the Bcl-2/Bax ratio."
"4,5-Dihydro-2-mercaptoimidazole",PPARgamma activation,"The euglycemic and hypolipidemic activities of PAT5A, a novel pyridine analog of thiazolidinedione, have been evaluated in different animal models. Administration of PAT5A to db/db mice resulted in dose-dependent decreases in plasma glucose, triglyceride, and insulin levels, and an improved glucose tolerance. The glucose-lowering activity of PAT5A was better than that of troglitazone and comparable to that of rosiglitazone. In addition, PAT5A showed better lipid-lowering activity than troglitazone or rosiglitazone. A similar profile was seen in ob/ob mice. In high-fat-fed Sprague Dawley rats, PAT5A treatment reduced plasma triglyceride and total cholesterol levels. An in vitro peroxisome proliferator activated receptor gamma PPARgamma transactivation assay in HEK-293 cells showed poor transactivation for PAT5A compared with rosiglitazone. PAT5A did not show any PPARalpha- or PPARdelta-activating properties. Ex vivo study in db/db mice treated with PAT5A showed decreased activity of liver glucose 6-phosphatase, a key enzyme in gluconeogenesis. A 28-day probe toxicity study in Wistar rats did not show any treatment-related alterations in hematologic and biochemical parameters, nor any macroscopic and microscopic changes in the vital organs, whereas rosiglitazone treatment increased liver and heart weights. Our results indicate that PAT5A is a potent insulin sensitizer and hypolipidemic compound with a weak PPARgamma activation potential. Both in vivo and in vitro results suggest that PAT5A improves glucose kinetics and lipid levels through mechanisms not related to PPAR activation."
"4,5-Dihydro-2-mercaptoimidazole",AChE inhibition,"Fathead minnows Pimephales promelas were exposed to Dursban during a chronic toxicity test for 200 days including a reproductive period of their life cycle. The fish concentrated Dursban approximately 1700 times. Survival of first-generation fish was adversely affected at 2.68 micrograms/liter within 60 days. A significant increase in deformities occurred at 2.68 micrograms/liter within 30 days. Growth was significantly reduced at 2.68 micrograms/liter within 30 days and at 1.21 micrograms/liter by 60 days. Maturation of the first-generation fish was reduced at all Dursban exposures and reproduction was significantly reduced at 0.63 micrograms/liter and above. Growth and estimated biomass of 30-day-old second-generation fish were significantly reduced at 0.12 micrograms/liter, the lowest concentration tested. Brain acetylcholinesterase AChE activity was significantly inhibited at 0.27 micrograms/liter and above. AChE inhibition ranged from near 10 in fish exposed at 0.12 micrograms/liter to 89 for those exposed at 2.68 micrograms/liter. Inhibition results are compared to other results demonstrated during the chronic study. The use of exposure units exposure concentration X exposure duration is discussed as a tool for determining the effects of organophosphate pesticides on the environment."
"4,5-Dihydro-2-mercaptoimidazole",AChE inhibition,"The ailments related to a malfunction in cholinergic functioning currently employ the use of inhibitors for acetylcholinesterase AChE and N-methyl-d-aspartate NMDA receptors. The present study was designed to elucidate the potential of swertiamarin SW, a secoiridoidal glycoside isolated from Enicostemma littorale in curtailing the cholinergic dysfunction. Using Caenorhabditis elegans as a model, SW was found to enhance neurotransmission by modulating AChE and nicotinic acetylcholine receptor nAChR activity being orchestrated through up-regulation of unc-17 and unc-50. SW exhibited AChE inhibition both in vivo and cell-free system. The in silico molecular docking of SW and human AChE hAChE displayed good binding energy of -6.02. Interestingly, the increase in aldicarb and levamisole sensitivity post SW treatment was curtailed to a significant level in daf-16 and skn-1 mutants. SW raised the level of the endogenous antioxidant enzymes through up-regulation of sod-3 and gst-4 that act downstream to DAF-16 and SKN-1, imparting protection against neurodegeneration. The outcome of our study displays SW as a potential natural molecule for the amelioration of cholinergic dysfunction. Moreover, the study also indicates that SW elicits antioxidant response via up-modulation of daf-16 possibly through unc-17 upregulation. Further research on SW pertaining to the underlying mechanism and potential is expected to significantly advance the current understanding and design of possible ameliorative or near ameliorative regimens for cholinergic dysfunction."
